Latitude	Longitude	MMI	Location
-37.4982	140.0138	6.0	Penguin Island
-37.8740	142.2896	5.0	Penshurst
-37.3771	140.8376	6.0	Penola
-36.5860	142.1213	4.0	Pimpinio
-38.6415	143.8942	5.5	Point Sturt
-32.4911	137.7638	3.0	Port Augusta
-33.6000	137.9311	3.0	Port Broughton
-35.5330	138.6808	5.5	Port Elliott
-38.3843	142.2340	4.0	Port Fairy
-34.7282	135.8571	4.0	Port Lincoln
-38.0535	140.6986	6.0	Port Macdonnell
-34.4964	137.4837	4.5	Port Victoria
-34.1847	138.1476	4.0	Port Wakefield
-38.3436	141.6041	4.0	Portland
-34.4228	140.4691	4.0	Pyap
-36.0531	144.1132	5.0	Pyramid Hill
-38.2693	144.6556	3.0	Queenscliff
-38.4189	145.5000	3.0	Queensferry
-32.3447	138.0409	2.0	Quorn
-36.5387	144.2039	3.0	Raywood
-33.5451	138.2217	3.0	Redhill
-34.1722	140.7426	3.0	Renmark
-34.1574	138.7444	4.0	Riverton
-37.1626	139.7538	7.0	Robe
-37.0910	139.8050	8.0	Telegraph Hotel (NE of Robe)
-36.6288	142.6321	5.0	Rupanyup
-34.0825	138.7807	3.0	Saddleworth
-36.6221	143.2590	3.0	Saint Arnaud
-38.1037	147.0656	3.0	Sale
-34.7671	138.6603	4.0	Salisbury
-36.1259	139.6495	6.0	Salt Creek
-37.6091	141.4419	6.0	Sandford
-35.5083	142.8506	F	Sea Lake
-34.5727	139.2968	6.0	Sedan
-36.4091	143.9710	5.0	Serpentine
-36.3754	140.9885	6.0	Serviceton
-NA-	-NA-	F	Ship = Coorong
-NA-	-NA-	3.0	Sorington (Springton?)
-37.8376	144.9863	F	South Yarra
-37.8756	140.8239	4.0	Spring Vale
-37.8643	140.8124	6.0	Square Mile
-37.0534	142.7823	6.0	Stawell
-34.3299	138.7367	4.0	Stockport
-34.4347	139.0536	4.0	Stockwell
-35.2576	138.8945	4.0	Strathalbyn
-37.7274	141.1364	4.0	Strathdownie
-34.9595	138.7309	4.0	Summertown
-34.1548	139.2237	4.0	Sutherlands
-37.1707	143.6999	4.0	Talbot
-37.6960	140.4569	7.0	Tantanoola
-33.9720	141.0229	4.0	Tarena
-34.2710	138.7713	5.0	Tarlee
-36.4401	145.2273	3.0	Tatura
-37.1204	142.0200	5.5	Telangatuk East
-36.9426	140.2257	6.0	Avenue
-37.4350	143.4692	3.0	Travalla
-34.4087	139.1274	4.0	Truro
-34.5948	138.5173	4.0	Two Wells
-34.9561	138.7451	5.5	Uraidla
-35.5534	138.6232	6.0	Victor Harbor
-34.6664	138.5609	4.0	Virginia
-36.9702	139.8075	8.0	Wangolina
-34.9908	137.3999	6.0	Warooka
-36.2508	142.4013	5.0	Warracknabeal
-38.3835	142.4851	4.0	Warrnambool
-33.9610	138.6446	4.0	Watervale
-36.4210	143.6135	4.0	Wedderburn
-35.3324	139.3832	5.5	Wellington
-34.0983	141.9011	4.0	Wentworth
-36.0809	144.6345	0.0	Wharparilla
-NA-	-NA-	6.0	Williamstown
-35.2726	138.5549	6.0	Willunga
-36.3667	140.9103	5.0	Wolseley
-34.9531	138.8795	6.0	Woodside
-34.8770	138.5378	4.0	Woodville
-36.2796	141.7640	3.0	Woorak (near Nhill)
-36.1540	145.4310	2.0	Wunghnu
-36.0760	143.2260	4.0	Wychenproof
-33.5700	138.4450	4.0	Yacka
-35.4620	138.3510	6.0	Yankalilla
